<msg_type>  <time>  <packet_type>  <seq>  <size>  <ack>
rcv         3104.211       A       1      0       7602  
snd         3121.425       D       7652   50      1     
rcv         3137.761       A       1      0       7652  
snd         3143.883       D       7702   50      1     
rcv         3155.47        A       1      0       7702  
snd         3166.668       D       7752   50      1     
snd         3167.079       D       7802   50      1     
rcv         3173.34        A       1      0       7752  
snd         3178.694       D       7852   50      1     
rcv         3201.243       A       1      0       7802  
snd         3207.532       D       7902   50      1     
rcv         3207.616       A       1      0       7852  
snd         3207.728       D       7952   50      1     
rcv         3212.882       A       1      0       7902  
snd         3229.691       D       8002   50      1     
rcv         3240.648       A       1      0       7952  
snd         3240.72        D       8052   50      1     
rcv         3240.787       A       1      0       8002  
snd         3240.863       D       8102   50      1     
drop        3240.863       D       8152   50      1     
rcv         3240.968       A       1      0       8052  
rcv         3241.039       A       1      0       8102  
snd         3241.125       D       8152   50      1     
rcv         3241.197       A       1      0       8152  
rcv         3241.319       A       1      0       8202  
snd         3241.379       D       8202   50      1     
rcv         3257.746       A       1      0       8252  
snd         3286.463       D       8252   50      1     
snd         3292.864       D       8302   50      1     
rcv         3292.922       A       1      0       8302  
snd         3309.716       D       8352   50      1     
drop        3309.716       D       8402   50      1     
rcv         3326.53        A       1      0       8352  
snd         3342.746       D       8402   50      1     
rcv         3359.644       A       1      0       8402  
rcv         3376.96        A       1      0       8452  
snd         3383.256       D       8452   50      1     
snd         3388.761       D       8502   50      1     
rcv         3388.816       A       1      0       8502  
snd         3406.091       D       8552   50      1     
rcv         3422.843       A       1      0       8552  
snd         3440.566       D       8602   50      1     
rcv         3457.444       A       1      0       8602  
snd         3474.094       D       8652   50      1     
rcv         3486.2         A       1      0       8652  
snd         3492.517       D       8702   50      1     
drop        3492.517       D       8752   50      1     
rcv         3508.557       A       1      0       8702  
snd         3525.832       D       8752   50      1     
rcv         3548.276       A       1      0       8752  
snd         3548.352       D       8802   50      1     
rcv         3565.938       A       1      0       8802  
snd         3578.529       D       8852   50      1     
rcv         3595.584       A       1      0       8852  
snd         3613.479       D       8902   50      1     
rcv         3630.672       A       1      0       8902  
snd         3648.784       D       8952   50      1     
rcv         3665.299       A       1      0       8952  
snd         3682.472       D       9002   50      1     
rcv         3699.44        A       1      0       9002  
snd         3715.326       D       9052   50      1     
rcv         3726.853       A       1      0       9052  
snd         3732.198       D       9102   50      1     
rcv         3732.293       A       1      0       9102  
snd         3732.388       D       9152   50      1     
rcv         3732.469       A       1      0       9152  
rcv         3732.545       A       1      0       9202  
snd         3738.079       D       9202   50      1     
rcv         3743.621       A       1      0       9252  
snd         3743.688       D       9252   50      1     
rcv         3761.575       A       1      0       9302  
snd         3772.579       D       9302   50      1     
rcv         3785.031       A       1      0       9352  
snd         3801.87        D       9352   50      1     
rcv         3818.633       A       1      0       9402  
snd         3830.168       D       9402   50      1     
rcv         3857.739       A       1      0       9452  
snd         3888.742       D       9452   50      1     
snd         3888.862       D       9502   50      1     
snd         3888.918       D       9552   50      1     
snd         3888.966       D       9602   50      1     
snd         3889.011       D       9652   50      1     
