<msg_type>  <time>  <packet_type>  <seq>  <size>  <ack>
rcv         12922.162       D       26152  50      1     
rcv         12955.2        D       26202  50      1     
rcv         12966.433       D       26252  50      1     
rcv         12988.994       D       26302  50      1     
rcv         13039.855       D       26352  50      1     
rcv         13074.603       D       26402  50      1     
rcv         13108.996       D       26452  50      1     
rcv         13137.02       D       26502  50      1     
rcv         13154.07       D       26552  50      1     
rcv         13177.1        D       26602  50      1     
rcv         13212.472       D       26652  50      1     
rcv         13234.831       D       26702  50      1     
rcv         13245.915       D       26752  50      1     
rcv         13262.986       D       26802  50      1     
rcv         13302.362       D       26852  50      1     
rcv         13314.391       D       26902  50      1     
rcv         13331.738       D       26952  50      1     
rcv         13349.145       D       27002  50      1     
rcv         13354.861       D       27052  50      1     
rcv         13360.532       D       27102  50      1     
rcv         13384.091       D       27152  50      1     
rcv         13402.718       D       27202  50      1     
rcv         13420.235       D       27252  50      1     
rcv         13426.763       D       27302  50      1     
rcv         13462.777       D       27352  50      1     
rcv         13496.767       D       27402  50      1     
rcv         13502.532       D       27452  50      1     
rcv         13519.687       D       27502  50      1     
rcv         13541.611       D       27552  50      1     
rcv         13570.568       D       27602  50      1     
rcv         13603.822       D       27652  50      1     
rcv         13620.535       D       27702  50      1     
rcv         13626.68       D       27752  50      1     
rcv         13637.995       D       27802  50      1     
rcv         13670.577       D       27852  50      1     
rcv         13699.875       D       27902  50      1     
rcv         13717.585       D       27952  50      1     
rcv         13730.084       D       28002  50      1     
rcv         13763.361       D       28052  50      1     
rcv         13780.557       D       28102  50      1     
rcv         13814.19       D       28152  50      1     
rcv         13846.359       D       28202  50      1     
rcv         13870.414       D       28252  50      1     
rcv         13893.671       D       28302  50      1     
rcv         13926.129       D       28352  50      1     
rcv         13960.679       D       28402  50      1     
rcv         13976.811       D       28452  50      1     
rcv         14005.429       D       28502  50      1     
rcv         14021.872       D       28552  50      1     
rcv         14044.907       D       28602  50      1     
rcv         14062.729       D       28652  50      1     
rcv         14096.712       D       28702  50      1     
rcv         14130.677       D       28752  50      1     
rcv         14141.693       D       28802  50      1     
rcv         14157.519       D       28852  50      1     
rcv         14168.075       D       28902  50      1     
rcv         14173.908       D       28952  50      1     
rcv         14196.4        D       29002  50      1     
rcv         14224.049       D       29052  50      1     
rcv         14253.015       D       29102  50      1     
rcv         14276.62       D       29152  50      1     
rcv         14310.242       D       29202  50      1     
rcv         14342.759       D       29252  50      1     
rcv         14360.278       D       29302  50      1     
rcv         14388.624       D       29352  50      1     
rcv         14423.253       D       29402  50      1     
rcv         14445.325       D       29452  50      1     
rcv         14479.278       D       29502  50      1     
rcv         14500.36       D       29552  50      1     
rcv         14535.864       D       29602  50      1     
rcv         14558.425       D       29652  50      1     
rcv         14592.809       D       29702  50      1     
rcv         14616.012       D       29752  50      1     
rcv         14650.663       D       29802  50      1     
rcv         14683.976       D       29852  50      1     
rcv         14717.947       D       29902  50      1     
rcv         14750.41       D       29952  50      1     
rcv         14761.935       D       30002  50      1     
rcv         14789.288       D       30052  50      1     
rcv         14812.434       D       30102  50      1     
rcv         14834.852       D       30152  50      1     
rcv         14856.941       D       30202  50      1     
rcv         14886.896       D       30252  50      1     
rcv         14893.224       D       30302  50      1     
rcv         14920.792       D       30352  50      1     
rcv         14937.865       D       30402  50      1     
rcv         14959.498       D       30452  50      1     
rcv         14976.608       D       30502  50      1     
rcv         15000.565       D       30552  50      1     
rcv         15035.543       D       30602  50      1     
rcv         15052.881       D       30652  50      1     
rcv         15087.661       D       30702  50      1     
rcv         15106.209       D       30752  50      1     
rcv         15139.403       D       30802  50      1     
rcv         15162.826       D       30852  50      1     
rcv         15181.185       D       30902  50      1     
rcv         15203.369       D       30952  50      1     
rcv         15226.485       D       31002  50      1     
rcv         15250.294       D       31052  50      1     
rcv         15261.835       D       31102  50      1     
rcv         15278.696       D       31152  50      1     
rcv         15312.152       D       31202  50      1     
rcv         15324.094       D       31252  50      1     
rcv         15324.32       D       31302  50      1     
rcv         15347.993       D       31352  50      1     
rcv         15381.471       D       31402  50      1     
rcv         15409.286       D       31452  50      1     
rcv         15426.681       D       31502  50      1     
rcv         15437.655       D       31552  50      1     
rcv         15474.225       D       31602  50      1     
rcv         15514.336       D       31652  50      1     
rcv         15538.713       D       31702  50      1     
rcv         15570.786       D       31752  50      1     
rcv         15594.479       D       31802  50      1     
rcv         15627.817       D       31852  50      1     
rcv         15662.232       D       31902  50      1     
rcv         15668.656       D       31952  50      1     
rcv         15685.609       D       32002  50      1     
rcv         15696.233       D       32052  50      1     
rcv         15719.599       D       32102  50      1     
rcv         15741.996       D       32152  50      1     
rcv         15764.343       D       32202  50      1     
rcv         15792.122       D       32252  50      1     
rcv         15815.62       D       32302  50      1     
rcv         15838.243       D       32352  50      1     
rcv         15862.398       D       32402  50      1     
rcv         15880.897       D       32452  50      1     
rcv         15914.368       D       32502  50      1     
rcv         15920.25       D       32552  50      1     
rcv         15931.123       D       32602  50      1     
rcv         15953.929       D       32652  50      1     
rcv         15987.452       D       32702  50      1     
rcv         15999.012       D       32752  50      1     
rcv         16027.171       D       32802  50      1     
rcv         16061.356       D       32852  50      1     
rcv         16093.985       D       32902  50      1     
rcv         16105.778       D       32952  50      1     
rcv         16116.77       D       33002  50      1     
rcv         16135.49       D       33052  50      1     
rcv         16169.453       D       33102  50      1     
rcv         16197.722       D       33152  50      1     
rcv         16208.679       D       33202  50      1     
rcv         16226.604       D       33252  50      1     
rcv         16249.951       D       33302  50      1     
rcv         16284.999       D       33352  50      1     
rcv         16301.402       D       33402  50      1     
rcv         16335.383       D       33452  50      1     
rcv         16371.705       D       33502  50      1     
rcv         16377.654       D       33552  50      1     
rcv         16378.016       D       33602  50      1     
rcv         16417.306       D       33652  50      1     
rcv         16452.295       D       33702  50      1     
rcv         16486.065       D       33752  50      1     
rcv         16508.561       D       33802  50      1     
rcv         16526.021       D       33852  50      1     
rcv         16549.055       D       33902  50      1     
